date,open,high,low,close,volume
1/28/2008,288.4226,289.0636,277.1225,280.8505,5804803
1/29/2008,283.1186,283.553,273.1167,278.0924,6276985
1/30/2008,277.4205,283.0984,274.5513,276.9558,7929224
1/31/2008,272.2782,289.448,269.8939,285.0533,14571660
2/1/2008,267.055,271.0961,257.6239,260.6043,17589740
2/4/2008,257.1541,259.0282,248.8091,250.2639,13157040
2/5/2008,247.2331,257.1188,246.7734,256.0072,11201620
2/6/2008,258.1998,258.2149,251.5268,253.4362,7626121
2/7/2008,250.9863,259.7405,249.9255,255.0729,7928354
2/8/2008,257.3259,261.5287,256.9672,261.0033,6828632
2/11/2008,262.938,264.5494,259.3414,263.2613,5825276
2/12/2008,264.3878,268.0299,259.1545,261.7105,6660265
2/13/2008,263.9382,270.2475,262.0136,270.0606,6548608
2/14/2008,271.9448,273.3036,268.2319,268.8634,6476243
2/15/2008,266.8731,269.0705,264.8626,267.5449,5202978
2/19/2008,270.2222,270.2828,255.8559,257.0935,6349786
2/20/2008,254.3455,258.1341,251.9764,257.1188,6661538
2/21/2008,259.0636,259.2454,252.3199,254.0172,5672852
2/22/2008,253.613,257.1188,251.3349,256.5126,5515184
2/25/2008,255.5781,255.8559,245.3691,245.7227,8340403
2/26/2008,232.9728,235.6349,225.724,234.4832,23283470
2/27/2008,232.4323,240.1913,232.1848,238.8628,10121210
2/28/2008,237.6707,242.0099,236.0845,240.1408,6584926
2/29/2008,238.3627,242.3382,234.7156,238.0142,9395017
3/3/2008,238.1809,238.7921,227.3708,230.8613,7550407
3/4/2008,227.7951,229.0125,220.132,224.5874,13619870
3/5/2008,224.9158,229.4217,224.2843,226.1533,7434448
3/6/2008,226.1483,228.9822,217.8084,218.5762,7468915
3/7/2008,216.6465,222.2638,215.313,218.9045,8071768
3/10/2008,216.6213,217.7175,208.645,208.938,7984562
3/11/2008,214.8179,222.3395,214.5098,222.1829,8826327
3/12/2008,222.2688,226.2443,221.2888,222.3547,6651634
3/13/2008,218.561,225.7897,216.596,223.7842,7718675
3/14/2008,223.7691,226.9818,217.5255,221.2131,6574069
3/17/2008,216.197,219.0864,208.1753,212.0952,7879334
3/18/2008,216.6971,222.6881,214.9544,221.8394,7232441
3/19/2008,222.8245,226.0523,218.0559,218.2226,6178371
3/20/2008,215.8585,220.0916,210.898,219.0056,9908609
3/24/2008,221.4707,235.2864,221.112,232.6495,6755975
3/25/2008,231.0836,231.0886,225.2946,227.7092,5831509
3/26/2008,228.6235,233.8164,226.9566,231.4523,5176881
3/27/2008,225.2946,226.6131,222.5113,224.3247,5832191
3/28/2008,226.0321,229.1181,219.3895,221.2939,4375155
3/31/2008,220.0613,223.6226,218.2276,222.5012,4439069
4/1/2008,226.1736,235.6501,225.7341,235.251,6092259
4/2/2008,237.3676,240.3176,232.5637,235.246,5998113
4/3/2008,233.2406,234.0286,226.3706,229.9015,6778351
4/4/2008,230.8563,241.3734,230.4471,237.9687,5894741
4/7/2008,240.9693,245.2175,239.2013,240.8632,5941080
4/8/2008,238.9537,239.5094,233.382,236.3118,4532645
4/9/2008,236.9786,238.4284,231.124,234.4832,6047735
4/10/2008,234.8722,239.37,233.3012,236.9534,5071641
4/11/2008,234.4226,236.034,229.846,231.0785,4150982
